t,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5
48,12.887882421,13.04395077,38.43089609,12.37410231,36.191294327,12.16340304,6.680859873,5.06939712,44.496653984,24.89374005
49,13.223669548,13.37143605,38.591991051,12.41311824,36.202867369,11.86388796,6.45309301,5.77221798,43.985641612,24.81281148
50,13.530900318,12.8161674,38.217869023000006,12.444793200000001,36.187816960999996,11.66485785,7.21701004,6.46140153,43.517702072,24.72404769
51,13.67721199,12.43573602,37.506734378,12.43555527,36.145032903,11.65136382,7.8364188630000005,6.95430642,43.069308579,24.631440989999998
52,13.729814791,12.21788373,36.648656894,12.40971786,36.062427983999996,11.70802233,8.347334672,7.45144581,42.524737361999996,24.551493899999997
53,13.122092897,11.85626409,37.225952964,12.38498868,36.059369627,12.03656574,8.192555345999999,7.3613086800000005,42.662385752999995,24.42314262
54,12.862369842,11.352679680000001,37.138049646000006,12.37647921,36.156320953,12.22344942,8.94079989,7.21336923,42.670815587,24.22435302
55,12.689516155,10.76794995,36.776231684,12.359795400000001,36.350849221,12.35480187,10.208619498000001,6.9071802600000005,42.656168877,23.95107321
56,12.981698225,10.27254456,35.481134645,12.29727651,36.452049685000006,12.3928578,12.152216015999999,7.06113807,41.633877075,23.70011415
57,12.791621066000001,9.67493859,34.473965841,12.1607526,36.413674097,12.5569962,14.065503403,6.71593833,41.111782772,23.44751592
58,12.343569783,9.13102497,33.461904593,11.97946668,36.409461315,12.76683408,16.168625047000003,6.0110242199999995,40.885814372,23.06617743
59,11.727836758999999,8.67105579,32.242904017,11.77309944,36.527668396,13.006792860000001,18.304319532,5.25797622,41.061086404,22.471145099999998
60,11.070629530000001,9.6997839,30.99167952,11.47313853,36.652150303,13.060717350000001,19.475022687,4.41279819,41.909345449999996,21.4900926
61,10.590082022,9.85216668,29.745152328,11.1439614,36.67303469,12.9270846,19.654887836,3.4467877199999997,43.398985702,20.29473813
62,10.197621991,9.57809046,28.518773680000002,10.90556853,36.541837293,12.82894179,19.368111891,2.70612909,44.733728410000005,19.18457025
63,9.793200592,9.15062487,27.6400882,10.78711488,36.30887445,12.80498049,18.912275544,2.29078266,45.734715535,18.22510812
64,9.384535972,8.69066568,27.385559844,10.717004939999999,35.984752414,12.8621316,18.354944347,2.08434471,46.410187933,17.41054869
65,8.987915741,8.19100869,27.179053433,10.661576010000001,35.679291803,12.93667488,17.700971948,1.9021815300000002,46.848739503,16.75901742
66,8.626303593,8.217666209999999,27.031428248,10.572647700000001,35.393457332,12.99048354,18.063728273,1.71705087,47.112866209,16.226515019999997
67,7.608801755,8.20505106,26.826210095999997,10.450325939999999,35.228176429,12.581614230000001,18.437001547,1.49356395,47.125621308999996,15.82107351
68,6.514987148,8.23959039,26.701445637,10.24190334,35.143426689,11.97996183,19.107798539,1.3801824,46.948887839,15.478306229999998
69,6.517142644,8.282207699999999,26.581844400999998,9.9750336,35.088115915,11.87547243,19.830729303000002,1.41778677,46.702494748,15.178822619999998
70,6.486323126,8.33688708,26.482820844,9.58654839,35.09157736,11.85842304,20.53611787,1.34860329,46.641523479,14.91911178
71,6.257722393000001,8.18262657,25.719955393,9.01339518,34.900116599,11.906028599999999,21.289040016,0.7304397,46.760030741,15.736216950000001
72,5.944918663,8.09543181,25.401650683,8.42398398,34.673508614000006,11.91248022,21.959518954,0.43488498,46.812822703,15.989027909999999
73,5.62697672,8.0193972,25.270396983,7.88103843,34.449990401,11.89236303,22.506691821,0.2647989,46.67180455,15.966881309999998
74,5.317928332999999,7.93656297,25.246917655999997,7.38577236,34.272618687999994,11.856722399999999,23.028450746,0.1538232,46.444412227,15.79025562
75,5.0192422599999995,7.84675344,25.263286212999997,6.95277615,34.154443144000005,11.805375,23.538157900999998,0.06706692,46.125458172,15.53196666
76,4.842799699,7.80217299,25.298744415,6.56965563,34.060889701,11.781267869999999,23.925861152,0.0,45.696864303,15.22981212
77,4.89820484,7.78645779,25.459024599,6.25026792,33.97848108,11.788539779999999,24.126443121,0.06417594,45.124304578,14.886643920000001
78,4.923571507,7.78162824,25.640553949999997,5.98383951,33.932942384,11.82313314,24.221190456,0.10830039,44.393940293,14.538685410000001
79,4.923377222,7.78225071,25.830162873,5.76445662,33.91558337,11.85175758,24.272825126,0.1405536,43.562832922,14.18920464
80,4.9458645059999995,7.887456149999999,27.115872988,5.731713,34.042378824000004,11.82703569,24.034833138,0.9719613600000001,43.163201609,13.20590661
81,4.974497845,7.910389619999999,27.717564238999998,5.77400118,34.13400058,11.80769517,23.917271315,1.28411298,43.055013107,12.65347704
82,4.993258151,7.932152909999999,27.996485153,5.84115405,34.009519527,11.82125031,23.853466169,1.35239562,42.935805199,12.53665734
